Tiếng Anh,Tiếng Việt
Abigail,Abigail
Abigail's Flower,Hoa của Abigail
Sequitor,Kẻ Kế Tục
Lever,Cần Gạt
Accomploshrine,Đền Thành Tựu
Acid Rain,Mưa axit
Birchnut,Hạt cây phong
Roasted Birchnut,Hạt phong nướng
Birchnut Sapling,Cây phong con
Maxwell's Door,Cổng Maxwell
Enlightened Crown,Vương Miện Khai Sáng
Enlightened Shard,Mảnh khai sáng
Minor Gestalt,Tiểu Sinh Vô Định
Lunar Essence Extractor,Máy Chiết Xuất Tinh Chất Mặt Trăng
Celestial Champion,Chiến Binh Thiên Hà
Celestial Revenant,Oán Linh Thiên Thể
Pure Gestalt,Vô định tinh khiết
Moonglass Spike,Tinh thể mặt trăng tăng đột biến
Defeated Celestial Champion,Chiến Binh Bại Trận
Enlightening Snare,Bẫy Giác Ngộ
Celestial Scion,Hậu Duệ Thiên Hà
Life Giving Amulet,Bùa Phục Sinh
Anchor,Dây Neo
Anchor Kit,Cuộn Dây Neo
"\""Moon\"" Sketch",Bản Phác Tượng Mặt Trăng
Geode Fruit,Quả Đá
Nightberry,Quả Dâu Đêm
Cooked Nightberry,Quả Dâu Đêm Nấu Chín
Sproutrock,Cây mầm đá
Young Sproutrock,Cây Mầm đá non
Sproutrock Sapling,Chồi cây mầm đá
Gloomthorn,Cây Gai Đêm
Young Gloomthorn,Cây Gai Đêm non
Gloomthorn Sapling,Chồi Cây Gai Đêm
Surprising Seed,Hạt Giống Bất Ngờ
Planted Surprising Seed,Hạt Giống Bất Ngờ được trồng
Ancient Pseudoscience Station,Đài Giả Khoa Cổ Đại
Broken Ancient Pseudoscience Station,Đài Giả Khoa Đổ Nát
Ancient Remains,Di tích cổ xưa
Ancient Statue,Tượng cổ
Animal Track,Dấu động vật
Ant-Chovy,Ant-Choky
Antlion,Kiến Sư Tử
Turf-Raiser Helm,Nón Xới Đất
Beach Toy,Đồ chơi bãi biển
Sinkhole,Hố
Ancient Sentrypede,Rết Máy Cổ Đại
Sentrypede Husk,Xác Rết Máy
Ancient Kiln,Lò Cổ Đại
Distilled Knowledge,Bí Tịch
Fountain of Knowledge,Đài Phun Tri Thức
Ancient Moon Statue,Tượng Trăng Cổ Đại
Ancient Orchestrina,Dàn nhạc cổ đại
Sealed Portal,Cổng Niêm Phong
